I'm 19.	J'ai 19 ans.
I am counting on your help.	Je compte sur ton aide.
We're very busy.	Nous sommes très occupés.
You're being paranoid.	Vous êtes paranoïaque.
You're very attractive.	Tu es fort attirant.
I'm not particularly impressed.	Je ne suis pas particulièrement impressionnée.
You're old.	Vous êtes vieille.
He's going to regret this.	Il va le regretter.
You're smarter than me.	Vous êtes plus intelligent que moi.
We're unprejudiced.	Nous sommes dépourvues de préjugés.
We're about ready.	Nous sommes pour ainsi dire prêts.
I am more beautiful than you.	Je suis plus belle que vous.
I'm afraid we have a problem.	Je crains que nous ayons un problème.
I'm glad you're my friend.	Je me réjouis que tu sois mon ami.
She is as poor as ever.	Elle est toujours aussi pauvre.
I'm going back home tomorrow.	Je vais rentrer à la maison demain.
He's about to go.	Il est sur le point d'y aller.
I'm not really worried.	Je ne suis pas vraiment inquiet.
I'm not a bit tired.	Je ne suis pas du tout fatigué.
You're the one who trained me.	Vous êtes celui qui m'a entraînée.
We're not really sure.	Nous ne sommes pas vraiment sûrs.
They're jittery.	Elles ont la frousse.
You're not staying here, are you?	Vous ne restez pas ici, si ?
He is quite a gentleman.	C'est un gentleman.
I am divorced.	Je suis divorcé.
I'm really concerned about your future.	Je suis vraiment concerné par votre avenir.
We're all on the same team.	Nous faisons tous partie de la même équipe.
You are no longer welcome here.	Tu n'es plus le bienvenu ici.
You're kind of cute.	Vous êtes mignon, dans votre genre.
We're very different.	Nous sommes très différentes.
He is not available.	Il n'est pas disponible.
We're all working hard.	Nous travaillons toutes dur.
I'm really busy.	Je suis vraiment occupée.
He's kind of shy.	Il est assez timide.
I am tired of listening to Tom.	Je suis fatigué d'écouter Tom.
They're really ugly.	Elles sont vraiment moches.
I'm a normal guy.	Je suis un type normal.
I am not proud of this.	Je n'en suis pas fier.
I'm a little child.	Je suis une petite enfant.
We're very satisfied with it.	Nous en sommes très satisfaits.
I'm asking you as a friend.	Je vous le demande en tant qu'ami.
He is very careful.	Il est très prudent.
She is strong.	Elle est forte.
You're not good at this.	Vous n'y êtes pas bons.
She is a very nice person.	C'est une personne très sympa.
I'm going crazy.	Je deviens fou.
You're driving me nuts.	Tu me rends dingue.
I'm just making a suggestion.	Je ne fais qu'une suggestion.
He's such a jerk.	C'est un tel pauvre type !
I am ready to do anything for you.	Je suis prêt à tout faire pour toi.
I'm sick of English.	Je n'en peux plus de l'anglais.
We're still not sure.	Nous ne sommes toujours pas sûrs.
We're friends from way back.	Nous sommes vieux amis.
I'm sure he will come tomorrow.	Je suis sûr qu'il viendra demain.
You are a good cook, aren't you?	Vous êtes bon cuisinier, n'est-ce pas ?
I'm not paying for this.	Je ne vais pas payer pour ça.
You're really absent-minded.	Vous êtes vraiment tête-en-l'air.
You're still young.	Tu es encore jeune.
I'm busy with my homework.	Je suis occupé à mes devoirs.
We're married to each other.	Nous sommes mariés.
We're going to be late again.	Nous allons à nouveau être en retard.
I'm having the time of my life.	Je m'amuse comme un fou.
I'm tired of waiting in line.	Je suis fatiguée de faire la file.
I'm sorry, but I don't understand.	Je suis désolé mais je ne comprends pas.
I'm still not buying it.	Je ne le gobe toujours pas.
She's six years older than I am.	Elle est six ans plus âgée que moi.
You're not really a millionaire, are you?	Vous n'êtes pas vraiment millionnaire, si ?
You're doing the right thing.	Tu fais la bonne chose.
You are drunk!	Tu es saoul !
I'm fed up with all their lies.	Je suis fatigué de tous leurs mensonges.
She's worried about your safety.	Elle est inquiète pour ta sécurité.
She's divorced.	Elle a divorcé.
I'm sure everything will be fine.	Je suis sûre que tout ira bien.
I'm sorry I yelled at you.	Je suis désolée de vous avoir crié après.
He's addicted to heroin.	Il est dépendant à l'héroïne.
They're free.	Ils sont libres.
He's kind of cute.	Il est mignon, dans son genre.
He's a lovely young man.	C'est un charmant jeune homme.
We're still involved.	Nous sommes toujours impliquées.
I'm certain that he'll come.	Je suis certain qu'il viendra.
You're not alone anymore.	Tu n'es plus seul.
They're my friends.	Ils sont mes amis.
You're the tallest person here.	Tu es la personne la plus grande ici.
He's very intelligent.	Il est très intelligent.
She's upset right now.	Elle est fâchée, là.
You're fortunate.	Vous êtes chanceuse.
You're too skinny.	Vous êtes trop maigrichons.
You are the chosen one.	Tu es l'élu.
He is at home in France.	Il est chez lui en France.
He's my older brother.	C'est mon frère aîné.
I'm not good at it.	Je ne suis pas bon à ça.
I am sure of his success.	Je suis sûre de son succès.
They're in the hot tub.	Elles sont dans le baquet d'eau chaude.
They're doing it right.	Elles le font comme il faut.
I'm at a friend's house.	Je suis chez un ami.
I'm sorry if I embarrassed you.	Je suis désolée si je vous ai embarrassée.
You're smarter than me.	Tu es plus intelligent que moi.
You're elusive.	Tu es insaisissable.
We're not proud of it.	Nous n'en sommes pas fiers.
He's thrilled with his new job.	Il est enthousiasmé par son nouveau travail.
You're rich.	Tu es riche.
I'm really proud of this.	J'en suis vraiment fière.
I'm leaving it to you.	Je vous laisse ça.
I'm not selling you my car.	Je ne vous vends pas ma voiture.
I'm as hungry as a bear.	Je suis aussi affamé qu'un ours.
You are welcome here.	Vous êtes bienvenue ici.
We're ready now.	Nous sommes maintenant prêtes.
You're the owners.	Vous êtes les propriétaires.
I am out of work.	Je suis sans travail.
I'm not as busy as Tom.	Je ne suis pas aussi occupé que Tom.
I am looking forward to seeing you again.	Je me réjouis de te revoir.
I'm not your friend.	Je ne suis pas votre ami.
He is always making a fool of me.	Il se moque toujours de moi.
He is very depressed.	Il est très déprimé.
We are doomed.	Nous sommes condamnés.
You're not dead yet.	Vous n'êtes pas encore morte.
They're Asian.	Elles sont asiatiques.
We're not going.	Nous n'y allons pas.
You're so impatient with me.	Tu es tellement impatient avec moi.
I am ashamed of myself.	J'ai honte de moi-même.
He's a friend of my brother's.	C'est un ami de mon frère.
I am convinced that he is innocent.	Je suis convaincu qu'il est innocent.
I'm too tired to think.	Je suis trop fatigué pour réfléchir.
I'm as curious as you are.	Je suis aussi curieuse que vous.
I am not your enemy.	Je ne suis pas ton ennemie.
They're all hungry.	Ils ont tous faim.
We're all crazy.	Nous sommes tous dingues.
We're still getting to know each other.	On apprend encore à se connaître.
They're just for you.	Elles sont juste pour vous.
We're broke.	On est fauchés.
I'm sure Tom was involved.	Je suis sûre que Tom était impliqué.
He is known to everybody.	Il est connu de tous.
I am shorter than you.	Je suis plus petit que vous.
You're such a flirt.	Tu es un de ces dragueurs !
He is anxious for her to come.	Il est inquiet de sa venue.
She's very interested in music.	Elle s'intéresse beaucoup à la musique.
I'm anxious to see you.	Je suis impatient de te voir.
You're my friends, both of you.	Vous êtes mes amis, tous les deux.
He isn't happy at all.	Il n'est pas du tout satisfait.
I'm finished with you.	J'en ai fini avec toi.
We're all students.	Nous sommes toutes étudiantes.
He is rarely in a good mood.	Il est rarement de bonne humeur.
They're not so bad.	Elles ne sont pas si mauvaises.
She isn't lonely now.	Elle n'est plus seule maintenant.
She's an only child.	Elle est fille unique.
You're no different.	Vous n'êtes pas différent.
He's just a liar.	Ce n'est qu'un menteur.
You are a good person.	T'es un chic type.
We're all single.	Nous sommes toutes célibataires.
I'm smarter than you.	Je suis plus vif que vous.
I'm so proud of you.	Je suis tellement fier de toi.
You're grumpy.	Vous êtes grognon.
You're too slow.	Tu es trop lente.
You're very good.	Vous êtes très bonne.
I am very tall.	Je suis très grande.
You're very astute.	Tu es très astucieux.
You're fortunate.	Tu es chanceux.
I'm tired of writing.	Je suis fatiguée d'écrire.
I'm pleased with their performance.	Je suis satisfaite de leur représentation.
You're pretty good.	T'es assez bonne.
You're out of control.	Tu es hors de contrôle.
You're no friend of mine.	Tu n'es pas de mes amis.
I'm going to go now.	Je vais maintenant y aller.
You're aren't one of us.	Tu n'es pas l'une des nôtres.
I'm glad you brought that up.	Je suis ravie que tu aies soulevé ça.
You're such a liar.	Quelle menteuse tu fais !
You're picky, aren't you?	Vous êtes difficile, n'est-ce pas ?
You are always finding fault with me.	Vous avez toujours quelque chose à me reprocher.
We're nearly finished.	Nous en avons presque fini.
You're very busy.	Vous êtes très occupés.
I'm proud of my son.	Je suis fier de mon fils.
We're still not sure.	Nous ne sommes pas encore sûres.
I'm already rich.	Je suis déjà riche.
I'm on the way home.	Je suis sur le chemin de la maison.
I'm going to buy some bread.	Je vais acheter du pain.
He is such a lazy fellow.	C'est une personne terriblement fainéante.
I'm sick of her excuses.	J'en ai assez de ses excuses.
I'm sorry, my father is out.	Je suis désolé, mon père est sorti.
He is intelligent.	Il est intelligent.
We're a big family.	Nous sommes une grande famille.
You're not a doctor.	Vous n'êtes pas médecin.
He's a very nice boy.	C'est un garçon très gentil.
I'm better than him.	Je suis meilleur que lui.
I'm working here.	Je travaille ici.
I'm looking forward to seeing you dance.	Je suis impatiente de te voir danser.
I'm sure Tom was involved.	Je suis sûre que Tom a été impliqué.
I'm sure they'll win.	Je suis sûr qu'elles vont gagner.
I'm no liar.	Je ne suis pas un menteur.
I'm a little confused.	Je suis un peu perplexe.
He is constantly complaining.	Il ne fait que se plaindre.
He is a scientist.	Il est scientifique.
I'm getting married in October.	Je vais me marier en octobre.
You're no saint.	Tu n'es pas une sainte.
I'm not doing it anymore.	Je ne vais plus le faire.
He is supposed to be at home today.	Il est censé être chez lui aujourd'hui.
I'm not on duty today.	Je ne suis pas en service aujourd'hui.
We're glad you're here.	Nous sommes contents que tu sois là.
I'm not very patient.	Je ne suis pas très patient.
She is getting prettier and prettier.	Elle devient de plus en plus jolie.
She is a good writer.	Elle est bon écrivain.
I'm an American citizen.	Je suis une citoyenne américaine.
We're through.	Nous avons terminé.
You are free to go.	Vous êtes libres de partir.
I'm glad you could make it.	Je suis ravie que vous ayez pu venir.
He is able to swim like a fish.	Il sait nager comme un poisson.
I'm impressed with your French.	Je suis impressionnée par votre français.
You're not my girlfriend.	Tu n'es pas ma copine.
You're surrounded.	Tu es cernée.
We're all scared.	Nous avons tous peur.
You are only young once.	On n'est jeune qu'une fois.
He is not honest at all.	Il n'est pas du tout honnête.
I am really pleased with my new car.	Je suis très content de ma nouvelle voiture.
I'm not going to lose.	Je ne vais pas perdre.
You're such a jerk.	Vous êtes un de ces pauvres types !
I am far from satisfied with the result.	Je suis loin d'être satisfait du résultat.
I am married and I have two sons.	Je suis mariée et j'ai deux fils.
You're the sweetest.	Tu es la plus mignonne.
I am almost ready.	Je suis presque prête.
I'm not dying.	Je ne suis pas en train de mourir.
You're the oldest.	Vous êtes la plus vieille.
You're not welcome here.	Vous n'êtes pas les bienvenues ici.
You're very pretty.	Tu es très jolie.
I'm too old for Tom.	Je suis trop vieille pour Tom.
You're very funny.	Vous êtes fort drôle.
He is no fool.	Il n'est pas idiot.
I'm very proud of our students.	Je suis très fier de nos étudiants.
You're very astute.	Vous êtes fort astucieux.
You're new here, aren't you?	Vous êtes nouvelle ici, n'est-ce pas ?
You're so sweet.	Tu es tellement gentille !
You're very resourceful.	Vous êtes pleine de ressources.
You're trustworthy.	Vous êtes fiable.
I'm very glad to meet you.	Je suis très heureux de vous rencontrer.
You aren't invited.	Tu n'es pas invitée.
She's a smart girl.	C'est une fille intelligente.
You're back again.	Vous êtes à nouveau de retour.
I am tired of hearing that.	J'en ai assez d'entendre ça.
She's much heavier than him.	Elle est beaucoup plus lourde que lui.
I'm sorry if I embarrassed you.	Je suis désolée si je vous ai embarrassées.
I am yours and you are mine.	Je suis vôtre et vous êtes miennes.
I'm sorry I yelled at you.	Je suis désolée de t'avoir hurlé dessus.
He's working at his English.	Il travaille son anglais.
You are rich.	Vous êtes riches.
I'm really cold.	J'ai vraiment froid.
He's starting to feel desperate.	Il commence à se sentir désespéré.
We're not dating.	Nous ne sortons pas ensemble.
You're not my mother.	Tu n'es pas ma mère.
You're all mine.	Vous êtes tous à moi.
We're not to be disturbed.	Il ne faut pas nous déranger.
You're impressed, aren't you?	Vous êtes impressionnées, n'est-ce pas ?
